family,scramble_index,scramble_seed,i,j,k,normalized_frobenius_defect,spectral_defect,holonomy_condition_number
positive_diagonal,18,20460737,0,1,3,1.5436167159306808e-15,1.1102230246251565e-15,1.0000000000000013
positive_diagonal,18,20460737,0,2,3,2.956794015931994e-15,1.2212453270876722e-15,1.0000000000000053
positive_diagonal,18,20460737,1,2,3,1.3814989777102729e-15,2.1094237467877974e-15,1.0000000000000022
positive_diagonal,19,20460738,0,1,2,1.0844437719586937e-15,1.3322676295501878e-15,1.0000000000000013
positive_diagonal,19,20460738,0,1,3,1.0175409341528223e-15,1.3322676295501878e-15,1.000000000000001
positive_diagonal,19,20460738,0,2,3,1.0722424617972937e-15,9.992007221626409e-16,1.0000000000000009
positive_diagonal,19,20460738,1,2,3,1.6993325223392202e-15,7.771561172376096e-16,1.0000000000000009
dense,0,20560719,0,1,2,6.516228254836781e-14,2.1316282072803006e-14,1.0000000000001146
dense,0,20560719,0,1,3,2.307544124311486e-14,6.5503158452884236e-15,1.0000000000000402
dense,0,20560719,0,2,3,4.4226924265852903e-13,2.6178299984855996e-14,1.0000000000007654
dense,0,20560719,1,2,3,2.3501042647029397e-13,2.7977620220553945e-14,1.0000000000004077
dense,1,20560720,0,1,2,3.9727088708317915e-14,3.9968028886505635e-14,1.0000000000000728
dense,1,20560720,0,1,3,1.0722920727476384e-14,3.3306690738754696e-15,1.000000000000009
dense,1,20560720,0,2,3,1.3127783867286626e-13,4.984901380566953e-14,1.0000000000002307
dense,1,20560720,1,2,3,8.895374105662045e-14,3.419486915845482e-14,1.0000000000001517
dense,2,20560721,0,1,2,2.1664100919393548e-14,6.661338147750939e-15,1.000000000000034
dense,2,20560721,0,1,3,3.7975504009412614e-14,1.6431300764452317e-14,1.0000000000000633
dense,2,20560721,0,2,3,1.0405075743902276e-13,4.8183679268731794e-14,1.00000000000018
dense,2,20560721,1,2,3,1.9229038887855529e-13,5.562217353372034e-14,1.0000000000003324
