setting_id,group,width,seed,noise,context_budget,split,method,accuracy,loss,ece,trainable_parameters,stored_parameters,branch_count,latency_ms,peak_memory_mb,leakage_hash_passed,logits_sha256
S3_w64_s21_n1.0_b16,S3,64,21,1.0,16,standard,learned_unconstrained_matrix_context_action,0.16416666666666666,2.069347215294891,0.19255693510992453,222,222,1,0.020167091861367226,125.453125,True,e07d0a9814d6b22711b3779b7e2373fc7b73606ae617ea5454dbb8e8e25d9a74
S3_w64_s21_n1.0_b16,S3,64,21,1.0,16,standard,generic_low_rank_context_adapter,0.20166666666666666,2.143711379215852,0.2334294285597303,462,462,1,0.02245791256427765,125.453125,True,e07d0a9814d6b22711b3779b7e2373fc7b73606ae617ea5454dbb8e8e25d9a74
S3_w64_s21_n1.0_b16,S3,64,21,1.0,16,standard,group_structured_without_hodge,0.16833333333333333,2.1895634321346704,0.26005058046652363,0,0,1,0.023083994165062904,125.453125,True,e07d0a9814d6b22711b3779b7e2373fc7b73606ae617ea5454dbb8e8e25d9a74
S3_w64_s21_n1.0_b16,S3,64,21,1.0,16,standard,hodge_lr_generic_retransport,0.1925,1.9645848750403827,0.14212616326960234,66,66,6,0.022666994482278824,125.453125,True,e07d0a9814d6b22711b3779b7e2373fc7b73606ae617ea5454dbb8e8e25d9a74
S3_w64_s21_n1.0_b16,S3,64,21,1.0,16,standard,random_multiplication_table_control,0.13583333333333333,2.2742295018890157,0.2925505804665236,0,0,1,0.023624859750270844,125.453125,True,e07d0a9814d6b22711b3779b7e2373fc7b73606ae617ea5454dbb8e8e25d9a74
S3_w64_s21_n1.0_b16,S3,64,21,1.0,16,standard,shuffled_context_control,0.1825,2.1632447216841273,0.24588391379985708,0,0,1,0.023624859750270844,125.453125,True,e07d0a9814d6b22711b3779b7e2373fc7b73606ae617ea5454dbb8e8e25d9a74
S3_w64_s21_n1.0_b64,S3,64,21,1.0,64,standard,twistedmerge_hodge_lr,0.1675,2.156139588155803,0.2608839137998572,30,30,1,0.02337503246963024,125.46875,True,686aa11c30c86a1123d9c782655ec5103059d14a55185d052a5532e3f601901e
S3_w64_s21_n1.0_b64,S3,64,21,1.0,64,standard,generic_mixture_of_experts,0.1775,1.794153280898756,0.004709236412000912,42,42,6,0.02304092049598694,125.46875,True,686aa11c30c86a1123d9c782655ec5103059d14a55185d052a5532e3f601901e
S3_w64_s21_n1.0_b64,S3,64,21,1.0,64,standard,learned_unconstrained_matrix_context_action,0.15666666666666668,2.336649841914592,0.2666102351324863,222,222,1,0.02154102548956871,125.46875,True,686aa11c30c86a1123d9c782655ec5103059d14a55185d052a5532e3f601901e
S3_w64_s21_n1.0_b64,S3,64,21,1.0,64,standard,generic_low_rank_context_adapter,0.17916666666666667,2.9567312871803484,0.3811188096124327,462,462,1,0.02133287489414215,125.46875,True,686aa11c30c86a1123d9c782655ec5103059d14a55185d052a5532e3f601901e
