dimension_m,dimension_n,rank,adapter_count,precision,method,trial_count,median_wall_seconds,p25_wall_seconds,p75_wall_seconds,minimum_wall_seconds,maximum_wall_seconds,median_cpu_seconds,minimum_cpu_seconds,maximum_cpu_seconds
768,768,16,8,float32,naive_factor_average,3,9.2207919806242e-05,8.331204298883677e-05,0.000130562460981271,7.441616617143154e-05,0.0001689170021563,9.100000000006324e-05,7.400000000012952e-05,0.0001660000000001
768,768,16,8,float32,pairwise_reference_alignment,3,0.0093997090589255,0.0093517295317724,0.009794645942747551,0.0093037500046193,0.0101895828265696,0.0118039999999999,0.0117129999999998,0.0128749999999999
768,768,16,16,float32,canonical_factor_space,3,0.0090423328801989,0.0089189994614571,0.00910497899167235,0.0087956660427153,0.0091676251031458,0.0090319999999999,0.0087759999999998,0.009128
768,768,16,16,float32,cycle_aware_alignment,3,0.0767422919161617,0.076488479389809,0.07730214600451285,0.0762346668634563,0.077862000092864,0.099606,0.0980800000000001,0.100378
768,768,16,16,float32,dense_deterministic_truncated_svd,3,0.0044645839370787,0.004458750365301949,0.0047209794865921,0.0044529167935252,0.0049773750361055,0.0044599999999999,0.0044509999999999,0.004839
768,768,16,16,float32,dense_randomized_svd,3,0.0021694579627364,0.002159729017876,0.0025751244975253497,0.0021500000730156,0.0029807910323143,0.0021680000000001,0.00215,0.0029509999999999
768,768,16,16,float32,global_synchronization,3,0.087505416944623,0.08536770846694705,0.09173387545160944,0.0832299999892711,0.0959623339585959,0.110797,0.1058159999999999,0.1163639999999999
768,768,16,16,float32,naive_factor_average,3,0.0001372499391436,0.00012677104678,0.000171978957951,0.0001162921544164,0.0002067079767584,0.0001360000000001,0.000116,0.000205
768,768,16,16,float32,pairwise_reference_alignment,3,0.0463624580297619,0.0463272085180506,0.0464429165003821,0.0462919590063393,0.0465233749710023,0.050753,0.0499370000000001,0.0525249999999999
768,768,32,4,float32,canonical_factor_space,3,0.0069947091396898,0.00697218813002105,0.00820118805859235,0.0069496671203523,0.0094076669774949,0.0068529999999999,0.006823,0.0083599999999999
768,768,32,4,float32,cycle_aware_alignment,3,0.0096645408775657,0.00858516583684825,0.009951082989573451,0.0075057907961308,0.0102376251015812,0.0086439999999998,0.0076310000000001,0.0091289999999999
768,768,32,4,float32,dense_deterministic_truncated_svd,3,0.0069722088519483,0.00684368785005055,0.00772604194935405,0.0067151668481528,0.0084798750467598,0.0069529999999999,0.0067519999999998,0.008302
768,768,32,4,float32,dense_randomized_svd,3,0.005807084031403,0.005162667017429999,0.0065671250922605,0.004518250003457,0.007327166153118,0.005732,0.004682,0.0066059999999998
768,768,32,4,float32,global_synchronization,3,0.029022041009739,0.02182841650210315,0.037311895401217,0.0146347919944673,0.045601749792695,0.013311,0.012054,0.0141249999999999
768,768,32,4,float32,naive_factor_average,3,0.000113541027531,9.924953337757389e-05,0.00017574999947095,8.49580392241478e-05,0.0002379589714109,0.0001120000000001,8.500000000011276e-05,0.000237
768,768,32,4,float32,pairwise_reference_alignment,3,0.0048927078023552,0.004488645819947051,0.00529568735510105,0.0040845838375389,0.0056986669078469,0.0047589999999999,0.0040799999999998,0.0054989999999999
768,768,32,8,float32,canonical_factor_space,3,0.016976083163172,0.016370604163967052,0.02058808307629075,0.0157651251647621,0.0242000829894095,0.0163489999999999,0.015217,0.0192290000000001
768,768,32,8,float32,cycle_aware_alignment,3,0.0546946669928729,0.0508999375160783,0.06426554196514185,0.0471052080392837,0.0738364169374108,0.058418,0.054224,0.068664
768,768,32,8,float32,dense_deterministic_truncated_svd,3,0.0077369171194732,0.00756977102719245,0.00803829205688085,0.0074026249349117,0.0083396669942885,0.0077409999999999,0.007451,0.0081249999999999
768,768,32,8,float32,dense_randomized_svd,3,0.0048907499294728,0.0048143959138542,0.005397604429163,0.0047380418982356,0.0059044589288532,0.004947,0.0048559999999999,0.0056309999999999
768,768,32,8,float32,global_synchronization,3,0.045290834037587,0.04504670854657885,0.05252697947435075,0.0448025830555707,0.0597631249111145,0.053849,0.0534190000000001,0.0637879999999999
768,768,32,8,float32,naive_factor_average,3,0.0005394578911364,0.00044393748976285,0.0007754163816571,0.0003484170883893,0.0010113748721778,0.0002330000000001,0.0002289999999998,0.000539
768,768,32,8,float32,pairwise_reference_alignment,3,0.0262154168449342,0.0235975208925083,0.02705108339432625,0.0209796249400824,0.0278867499437183,0.022461,0.0204599999999999,0.024173
768,768,32,16,float32,canonical_factor_space,3,0.0262678330764174,0.025934479082934503,0.0289257500553503,0.0256011250894516,0.0315836670342832,0.025929,0.0252729999999998,0.0294659999999999
768,768,32,16,float32,cycle_aware_alignment,3,0.3445585840381682,0.3347993755014613,0.3740823130356148,0.3250401669647544,0.4036060420330614,0.4108639999999997,0.4004099999999999,0.442671
768,768,32,16,float32,dense_deterministic_truncated_svd,3,0.0087104588747024,0.0081609588814899,0.00912322942167515,0.0076114588882774,0.0095359999686479,0.00844,0.007765,0.009012
