complex,class_type,trial,vertices,edges,faces,h1_dimension,exact,coexact,harmonic,distance_to_coboundaries,classified_nontrivial,expected_nontrivial,classification_correct,runtime_seconds
triangle_complex,nontrivial_harmonic,44,3,3,1,0,0.010122449430756892,0.999948766696335,9.079221883903556e-17,1.7292363131288961,False,False,True,5.545793101191521e-05
triangle_complex,nontrivial_harmonic,45,3,3,1,0,0.007840352072616423,0.9999692639673369,0.0,1.7382293868215333,False,False,True,5.5499840527772903e-05
triangle_complex,nontrivial_harmonic,46,3,3,1,0,0.00385462280711996,0.9999925709139116,1.2810712317348088e-16,1.7332600236121012,False,False,True,5.529099144041538e-05
triangle_complex,nontrivial_harmonic,47,3,3,1,0,0.0004877106844601678,0.9999998810691371,1.27968513124466e-16,1.7351501013464745,False,False,True,5.516689270734787e-05
triangle_complex,nontrivial_harmonic,48,3,3,1,0,0.0025579020752165087,0.9999967285631357,0.0,1.7212780843621653,False,False,True,5.504186265170574e-05
triangle_complex,nontrivial_harmonic,49,3,3,1,0,0.010423698598073641,0.9999456717779904,0.0,1.7345525633760193,False,False,True,5.679205060005188e-05
triangle_complex,nontrivial_harmonic,50,3,3,1,0,0.010794878446008944,0.9999417336021812,1.8029068674553207e-16,1.7416329189182291,False,False,True,5.533290095627308e-05
triangle_complex,nontrivial_harmonic,51,3,3,1,0,0.011933534341827576,0.9999287928438267,6.412050109575442e-17,1.7313401327650575,False,False,True,5.487515591084957e-05
triangle_complex,nontrivial_harmonic,52,3,3,1,0,0.006104810831188392,0.9999813654687347,1.1147446539689616e-16,1.7249931148167712,False,False,True,5.487515591084957e-05
triangle_complex,nontrivial_harmonic,53,3,3,1,0,0.0022613836050490986,0.9999974430688265,0.0,1.7360043194229033,False,False,True,5.483301356434822e-05
triangle_complex,nontrivial_harmonic,54,3,3,1,0,0.003628837677367497,0.9999934157468794,0.0,1.7343931915512483,False,False,True,5.474989302456379e-05
triangle_complex,nontrivial_harmonic,55,3,3,1,0,0.004516941047810138,0.9999897985697508,1.2731265038627083e-16,1.7440713006822033,False,False,True,5.4625095799565315e-05
triangle_complex,nontrivial_harmonic,56,3,3,1,0,0.009465351423958171,0.9999552025578049,1.5717892092376104e-16,1.7301035465155883,False,False,True,5.537504330277443e-05
