benchmark,method,mean_accuracy,actual_trainable_parameters,stored_parameters,parameter_multiplier,branch_count,measured_inference_time_seconds,inference_multiplier,peak_memory_mb,best_benchmark_accuracy,worst_case_regret,inference_overhead,lambda_regret,lambda_inference,practical_score
lora_holonomy,pairwise_procrustes_alignment,0.6975,96.0,96.0,1.0,1.0,7.858290337026119e-05,0.5477767480812209,,1.0,0.3025,0.0,0.0,0.01,0.6975
lora_holonomy,pairwise_procrustes_alignment,0.6975,96.0,96.0,1.0,1.0,7.858290337026119e-05,0.5477767480812209,,1.0,0.3025,0.0,0.0,0.05,0.6975
lora_holonomy,pairwise_procrustes_alignment,0.6975,96.0,96.0,1.0,1.0,7.858290337026119e-05,0.5477767480812209,,1.0,0.3025,0.0,0.1,0.0,0.66725
lora_holonomy,pairwise_procrustes_alignment,0.6975,96.0,96.0,1.0,1.0,7.858290337026119e-05,0.5477767480812209,,1.0,0.3025,0.0,0.1,0.01,0.66725
lora_holonomy,pairwise_procrustes_alignment,0.6975,96.0,96.0,1.0,1.0,7.858290337026119e-05,0.5477767480812209,,1.0,0.3025,0.0,0.1,0.05,0.66725
lora_holonomy,pairwise_procrustes_alignment,0.6975,96.0,96.0,1.0,1.0,7.858290337026119e-05,0.5477767480812209,,1.0,0.3025,0.0,0.25,0.0,0.621875
lora_holonomy,pairwise_procrustes_alignment,0.6975,96.0,96.0,1.0,1.0,7.858290337026119e-05,0.5477767480812209,,1.0,0.3025,0.0,0.25,0.01,0.621875
lora_holonomy,pairwise_procrustes_alignment,0.6975,96.0,96.0,1.0,1.0,7.858290337026119e-05,0.5477767480812209,,1.0,0.3025,0.0,0.25,0.05,0.621875
lora_holonomy,raw_lora_factor_average,0.6275,96.0,96.0,1.0,1.0,0.0001434579025954,1.0,,1.0,0.37250000000000005,0.0,0.0,0.0,0.6275
lora_holonomy,raw_lora_factor_average,0.6275,96.0,96.0,1.0,1.0,0.0001434579025954,1.0,,1.0,0.37250000000000005,0.0,0.0,0.01,0.6275
lora_holonomy,raw_lora_factor_average,0.6275,96.0,96.0,1.0,1.0,0.0001434579025954,1.0,,1.0,0.37250000000000005,0.0,0.0,0.05,0.6275
lora_holonomy,raw_lora_factor_average,0.6275,96.0,96.0,1.0,1.0,0.0001434579025954,1.0,,1.0,0.37250000000000005,0.0,0.1,0.0,0.5902499999999999
