seed,method,condition,examples,task_accuracy
22,direct_d4_equivariant_task_classifier,seen_rotations,250,0.6000000238418579
22,ordinary_chart_soft_moe,ambiguous_symmetric_inputs,250,0.2919999957084656
22,ordinary_chart_soft_moe,blur,250,0.2879999876022339
22,ordinary_chart_soft_moe,chart_distribution_shift,250,0.15600000321865082
22,ordinary_chart_soft_moe,gaussian_corruption,250,0.1679999977350235
22,ordinary_chart_soft_moe,heldout_compositions,250,0.2240000069141388
22,ordinary_chart_soft_moe,heldout_reflections,250,0.14000000059604645
22,ordinary_chart_soft_moe,heldout_rotations,250,0.24799999594688416
22,ordinary_chart_soft_moe,seen_rotations,250,0.3959999978542328
22,d4_chart_soft_moe,ambiguous_symmetric_inputs,250,0.4000000059604645
22,d4_chart_soft_moe,blur,250,0.5080000162124634
22,d4_chart_soft_moe,chart_distribution_shift,250,0.6039999723434448
22,d4_chart_soft_moe,gaussian_corruption,250,0.47999998927116394
22,d4_chart_soft_moe,heldout_compositions,250,0.6359999775886536
22,d4_chart_soft_moe,heldout_reflections,250,0.5920000076293945
22,d4_chart_soft_moe,heldout_rotations,250,0.628000020980835
22,d4_chart_soft_moe,seen_rotations,250,0.5640000104904175
22,d4_chart_hard_branch_selection,ambiguous_symmetric_inputs,250,0.3440000116825104
22,d4_chart_hard_branch_selection,blur,250,0.5
22,d4_chart_hard_branch_selection,chart_distribution_shift,250,0.5920000076293945
22,d4_chart_hard_branch_selection,gaussian_corruption,250,0.4959999918937683
22,d4_chart_hard_branch_selection,heldout_compositions,250,0.6439999938011169
22,d4_chart_hard_branch_selection,heldout_reflections,250,0.5640000104904175
22,d4_chart_hard_branch_selection,heldout_rotations,250,0.6240000128746033
22,d4_chart_hard_branch_selection,seen_rotations,250,0.5479999780654907
22,inverse_transform_one_canonical_expert,ambiguous_symmetric_inputs,250,0.335999995470047
22,inverse_transform_one_canonical_expert,blur,250,0.6320000290870667
22,inverse_transform_one_canonical_expert,chart_distribution_shift,250,0.7360000014305115
22,inverse_transform_one_canonical_expert,gaussian_corruption,250,0.5759999752044678
22,inverse_transform_one_canonical_expert,heldout_compositions,250,0.7720000147819519
22,inverse_transform_one_canonical_expert,heldout_reflections,250,0.7279999852180481
22,inverse_transform_one_canonical_expert,heldout_rotations,250,0.7440000176429749
22,inverse_transform_one_canonical_expert,seen_rotations,250,0.7200000286102295
22,inverse_transform_four_expert_average,ambiguous_symmetric_inputs,250,0.36399999260902405
22,inverse_transform_four_expert_average,blur,250,0.628000020980835
22,inverse_transform_four_expert_average,chart_distribution_shift,250,0.7480000257492065
22,inverse_transform_four_expert_average,gaussian_corruption,250,0.656000018119812
22,inverse_transform_four_expert_average,heldout_compositions,250,0.7879999876022339
22,inverse_transform_four_expert_average,heldout_reflections,250,0.7279999852180481
22,inverse_transform_four_expert_average,heldout_rotations,250,0.7599999904632568
22,inverse_transform_four_expert_average,seen_rotations,250,0.7160000205039978
22,canonicalize_pool_retransport,ambiguous_symmetric_inputs,250,0.36000001430511475
22,canonicalize_pool_retransport,blur,250,0.40799999237060547
22,canonicalize_pool_retransport,chart_distribution_shift,250,0.40799999237060547
22,canonicalize_pool_retransport,gaussian_corruption,250,0.2840000092983246
22,canonicalize_pool_retransport,heldout_compositions,250,0.4320000112056732
22,canonicalize_pool_retransport,heldout_reflections,250,0.4320000112056732
22,canonicalize_pool_retransport,heldout_rotations,250,0.41600000858306885
22,canonicalize_pool_retransport,seen_rotations,250,0.42399999499320984
22,uncertainty_weighted_retransport,ambiguous_symmetric_inputs,250,0.2240000069141388
22,uncertainty_weighted_retransport,blur,250,0.41200000047683716
22,uncertainty_weighted_retransport,chart_distribution_shift,250,0.3959999978542328
22,uncertainty_weighted_retransport,gaussian_corruption,250,0.2919999957084656
22,uncertainty_weighted_retransport,heldout_compositions,250,0.47200000286102295
22,uncertainty_weighted_retransport,heldout_reflections,250,0.46799999475479126
22,uncertainty_weighted_retransport,heldout_rotations,250,0.4480000138282776
22,uncertainty_weighted_retransport,seen_rotations,250,0.4480000138282776
22,abstaining_retransport,ambiguous_symmetric_inputs,250,0.20800000429153442
22,abstaining_retransport,blur,250,0.3840000033378601
22,abstaining_retransport,chart_distribution_shift,250,0.3880000114440918
22,abstaining_retransport,gaussian_corruption,250,0.2840000092983246
22,abstaining_retransport,heldout_compositions,250,0.4359999895095825
22,abstaining_retransport,heldout_reflections,250,0.4480000138282776
22,abstaining_retransport,heldout_rotations,250,0.40400001406669617
22,abstaining_retransport,seen_rotations,250,0.3919999897480011
22,supplied_chart_oracle,ambiguous_symmetric_inputs,250,0.5
22,supplied_chart_oracle,blur,250,0.7080000042915344
22,supplied_chart_oracle,chart_distribution_shift,250,0.800000011920929
22,supplied_chart_oracle,gaussian_corruption,250,0.7440000176429749
22,supplied_chart_oracle,heldout_compositions,250,0.843999981880188
22,supplied_chart_oracle,heldout_reflections,250,0.7919999957084656
22,supplied_chart_oracle,heldout_rotations,250,0.8080000281333923
22,supplied_chart_oracle,seen_rotations,250,0.7480000257492065
22,random_chart_control,ambiguous_symmetric_inputs,250,0.2800000011920929
22,random_chart_control,blur,250,0.25200000405311584
22,random_chart_control,chart_distribution_shift,250,0.25999999046325684
22,random_chart_control,gaussian_corruption,250,0.23600000143051147
22,random_chart_control,heldout_compositions,250,0.24400000274181366
22,random_chart_control,heldout_reflections,250,0.2639999985694885
22,random_chart_control,heldout_rotations,250,0.2840000092983246
22,random_chart_control,seen_rotations,250,0.2639999985694885
22,wrong_group_action_control,ambiguous_symmetric_inputs,250,0.15199999511241913
22,wrong_group_action_control,blur,250,0.08799999952316284
22,wrong_group_action_control,chart_distribution_shift,250,0.07199999690055847
22,wrong_group_action_control,gaussian_corruption,250,0.07999999821186066
22,wrong_group_action_control,heldout_compositions,250,0.08799999952316284
22,wrong_group_action_control,heldout_reflections,250,0.07599999755620956
22,wrong_group_action_control,heldout_rotations,250,0.1080000028014183
22,wrong_group_action_control,seen_rotations,250,0.07999999821186066
22,wrong_multiplication_order_control,ambiguous_symmetric_inputs,250,0.36399999260902405
22,wrong_multiplication_order_control,blur,250,0.5360000133514404
22,wrong_multiplication_order_control,chart_distribution_shift,250,0.40799999237060547
22,wrong_multiplication_order_control,gaussian_corruption,250,0.5320000052452087
22,wrong_multiplication_order_control,heldout_compositions,250,0.47200000286102295
22,wrong_multiplication_order_control,heldout_reflections,250,0.3160000145435333
22,wrong_multiplication_order_control,heldout_rotations,250,0.7200000286102295
22,wrong_multiplication_order_control,seen_rotations,250,0.6880000233650208
22,ensemble_reference,ambiguous_symmetric_inputs,250,0.2879999876022339
22,ensemble_reference,blur,250,0.2199999988079071
22,ensemble_reference,chart_distribution_shift,250,0.09600000083446503
22,ensemble_reference,gaussian_corruption,250,0.24400000274181366
22,ensemble_reference,heldout_compositions,250,0.20399999618530273
22,ensemble_reference,heldout_reflections,250,0.10000000149011612
22,ensemble_reference,heldout_rotations,250,0.11599999666213989
22,ensemble_reference,seen_rotations,250,0.4519999921321869
22,generic_low_rank_context_adapter,ambiguous_symmetric_inputs,250,0.31200000643730164
22,generic_low_rank_context_adapter,blur,250,0.25999999046325684
22,generic_low_rank_context_adapter,chart_distribution_shift,250,0.17599999904632568
22,generic_low_rank_context_adapter,gaussian_corruption,250,0.31200000643730164
22,generic_low_rank_context_adapter,heldout_compositions,250,0.23999999463558197
22,generic_low_rank_context_adapter,heldout_reflections,250,0.19599999487400055
22,generic_low_rank_context_adapter,heldout_rotations,250,0.18000000715255737
22,generic_low_rank_context_adapter,seen_rotations,250,0.4000000059604645
23,single_canonical_raw,ambiguous_symmetric_inputs,250,0.20800000429153442
23,single_canonical_raw,blur,250,0.2240000069141388
23,single_canonical_raw,chart_distribution_shift,250,0.13199999928474426
23,single_canonical_raw,gaussian_corruption,250,0.2280000001192093
23,single_canonical_raw,heldout_compositions,250,0.23600000143051147
