setting_id,null,permutation,residual,observed_residual,threshold_95
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,8,1.617894062334833e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,9,7.559706399917514e-17,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,10,1.555899559156096e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,11,1.535788262614925e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,12,2.3521693650807724e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,13,1.9002648273872183e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,14,2.0159134086937424e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,15,1.497745081983301e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,16,1.772198673560826e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,17,1.9156507341859312e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,18,2.2401805866712207e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,19,1.45164950456905e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,20,2.1061830851630458e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,21,1.992892912761435e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,22,2.2344243882401684e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,23,1.0579836312226869e-16,0.05888403541340326,2.5688728833880927e-16
MNIST_mlp_4_shared_base_specialization_s10,matched_norm_coboundary,24,1.408642985016695e-16,0.05888403541340326,2.5688728833880927e-16
