phase,group,width,noise,context_budget,method,accuracy,loss,ece,trainable_parameters,latency_ms
discovery,D4,32,0.0,256,generic_linear,0.14008333333333334,2.0895136056677694,0.01653684774303943,328.0,0.008083530701696873
discovery,D4,32,0.0,256,generic_low_rank_context_adapter,0.1428333333333333,2.3268492808656105,0.1771551333857622,392.0,0.008124974556267262
discovery,D4,32,0.0,256,generic_mixture_of_experts,1.0,1.8378764774414507,0.8401885135270714,72.0,0.008104019798338413
discovery,D4,32,0.0,256,generic_two_layer_mlp,0.12083333333333332,2.085401172705672,0.022383926893878886,792.0,0.008124974556267262
discovery,D4,32,0.0,256,learned_matrix_context_action,0.9865,1.0704710518141944,0.6248439601386979,520.0,0.008146045729517937
discovery,D4,32,0.0,256,shuffled_context_control,0.13475,2.4985718705982025,0.23095976266658616,0.0,0.008124974556267262
discovery,D4,32,0.0,256,structured_learned_router,1.0,1.0590482569086954,0.6345452695996907,72.0,0.00816641841083765
discovery,D4,32,0.0,256,supplied_context_structured_retransport,1.0,1.0590482569086954,0.6345452695996907,0.0,0.008312519639730453
discovery,D4,32,0.0,256,twistedmerge_hodge_lr,1.0,1.0590482569086954,0.6345452695996908,56.0,0.008229515515267849
discovery,D4,32,0.0,1024,c2m3_strict_synchronization,0.1775,2.4201352120573274,0.18862258324494038,0.0,0.008166534826159477
discovery,D4,32,0.0,1024,generic_linear,0.13716666666666666,2.0792557149284505,0.011293600893241298,328.0,0.008104019798338413
discovery,D4,32,0.0,1024,generic_low_rank_context_adapter,0.14325,2.3038550035897765,0.16662509765314085,392.0,0.008291332051157951
discovery,D4,32,0.0,1024,generic_mixture_of_experts,1.0,1.8374049651422844,0.840110655869245,72.0,0.008187023922801018
discovery,D4,32,0.0,1024,generic_two_layer_mlp,0.11791666666666667,2.0817862831296625,0.017036861582337786,792.0,0.008166534826159477
discovery,D4,32,0.0,1024,learned_matrix_context_action,0.9986666666666666,1.0605186019765145,0.6337665551736891,520.0,0.008146045729517937
discovery,D4,32,0.0,1024,shuffled_context_control,0.13533333333333333,2.4978458435432755,0.23055952484720538,0.0,0.008125090971589088
discovery,D4,32,0.0,1024,structured_learned_router,1.0,1.0590482569086954,0.6345452695996907,72.0,0.008167000487446785
discovery,D4,32,0.0,1024,supplied_context_structured_retransport,1.0,1.0590482569086954,0.6345452695996907,0.0,0.008291564881801605
discovery,D4,32,0.0,1024,twistedmerge_hodge_lr,1.0,1.0590482569086954,0.6345452695996908,56.0,0.008187955245375633
discovery,D4,32,0.2,16,c2m3_strict_synchronization,0.1775,2.4201352120573274,0.18862258324494038,0.0,0.008187489584088326
discovery,D4,32,0.2,16,generic_linear,0.11883333333333335,2.1295154783264403,0.08136889166821148,328.0,0.00827049370855093
discovery,D4,32,0.2,16,generic_low_rank_context_adapter,0.14750000000000002,2.4862054095458888,0.22674513050709194,392.0,0.008229049853980541
discovery,D4,32,0.2,16,generic_mixture_of_experts,0.5513333333333333,1.9669064654271935,0.4008183481856268,72.0,0.008145463652908802
discovery,D4,32,0.2,16,generic_two_layer_mlp,0.12491666666666668,2.2254819183109285,0.14321597619872384,792.0,0.008291914127767086
discovery,D4,32,0.2,16,learned_matrix_context_action,0.22275,1.986260650193674,0.036246229792055454,520.0,0.008312985301017761
