draw,family,cycle_residual
77,edge_shuffle,1.4185959100723267
77,matched_norm_coboundary,5.588308780353942e-16
77,matched_fit_random_gauge,1.1769169533409873
77,graph_topology_shuffle,1.4813925950802054
77,activation_bootstrap,1.263484001159668
78,edge_shuffle,1.4214595556259155
78,matched_norm_coboundary,4.856600703210182e-16
78,matched_fit_random_gauge,1.193772582419109
78,graph_topology_shuffle,1.4912590683747415
78,activation_bootstrap,0.9751054644584656
79,edge_shuffle,1.2955248355865479
79,matched_norm_coboundary,5.304773022996441e-16
79,matched_fit_random_gauge,1.2011751593584143
79,graph_topology_shuffle,1.4105253381012122
79,activation_bootstrap,1.2032431364059448
80,edge_shuffle,1.4188048839569092
80,matched_norm_coboundary,5.794260255235938e-16
80,matched_fit_random_gauge,1.2200441673576738
80,graph_topology_shuffle,1.3643999797867026
80,activation_bootstrap,1.1883246898651123
81,edge_shuffle,1.2955248355865479
81,matched_norm_coboundary,5.025294363258331e-16
81,matched_fit_random_gauge,1.1904156971888749
81,graph_topology_shuffle,1.5254231211410234
81,activation_bootstrap,1.2478560209274292
82,edge_shuffle,1.4185959100723267
82,matched_norm_coboundary,4.884747122190762e-16
82,matched_fit_random_gauge,1.1693593105093947
82,graph_topology_shuffle,1.3323430547789885
82,activation_bootstrap,1.0709034204483032
83,edge_shuffle,1.4214595556259155
83,matched_norm_coboundary,5.142173291426223e-16
83,matched_fit_random_gauge,1.1750905216029321
83,graph_topology_shuffle,1.370899271935666
83,activation_bootstrap,1.1329425573349
84,edge_shuffle,1.3847516775131226
84,matched_norm_coboundary,5.943198892276674e-16
84,matched_fit_random_gauge,1.202541023329514
84,graph_topology_shuffle,1.5474875712493046
84,activation_bootstrap,1.2701971530914307
85,edge_shuffle,1.41055166721344
85,matched_norm_coboundary,5.392314574818918e-16
85,matched_fit_random_gauge,1.2339478456449204
85,graph_topology_shuffle,1.4244413698684601
85,activation_bootstrap,1.0480821132659912
86,edge_shuffle,1.4188048839569092
86,matched_norm_coboundary,5.124855198938154e-16
86,matched_fit_random_gauge,1.2036199865831496
86,graph_topology_shuffle,1.4137015115663014
86,activation_bootstrap,1.1571781635284424
87,edge_shuffle,1.41055166721344
87,matched_norm_coboundary,5.774965596767302e-16
87,matched_fit_random_gauge,1.1937766404640164
87,graph_topology_shuffle,1.3968694540186735
87,activation_bootstrap,1.1022406816482544
88,edge_shuffle,1.4185959100723267
88,matched_norm_coboundary,6.325623732742924e-16
88,matched_fit_random_gauge,1.2176380677654628
88,graph_topology_shuffle,1.5066121776002062
88,activation_bootstrap,1.0969780683517456
89,edge_shuffle,1.41055166721344
89,matched_norm_coboundary,5.422491221376531e-16
89,matched_fit_random_gauge,1.2010026097382123
89,graph_topology_shuffle,1.380050580983314
89,activation_bootstrap,1.0992311239242554
90,edge_shuffle,1.3847516775131226
90,matched_norm_coboundary,4.614098005147681e-16
90,matched_fit_random_gauge,1.1888353352660608
90,graph_topology_shuffle,1.4280369622757174
90,activation_bootstrap,1.0940015316009521
