summary_type,target,feature_set,predictor,n_rows,n_fixed_settings,metric,metric_value,bootstrap_ci_low,bootstrap_ci_high,claim_boundary,mae,fixed_setting_id,n_unique_seeds
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_plus_local_quality,intercept,1680,16.0,standardized_linear_beta,0.008267261904761906,0.004900411195286204,0.011503696476360414,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_plus_local_quality,mean_cycle_score,1680,16.0,standardized_linear_beta,2.333620709865647e-12,-1.1541763312295752e-11,2.3475907892991915e-11,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_plus_local_quality,pairwise_alignment_residual_mean,1680,16.0,standardized_linear_beta,1.9446971810666014e-11,-1.9142247877947103e-11,7.427954256452456e-11,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_plus_local_quality,combined_obstruction_score,1680,16.0,standardized_linear_beta,-2.2067167537720422e-11,-1.0295711234519639e-10,3.018285591079023e-11,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_plus_local_quality,sync_disagreement,1680,16.0,standardized_linear_beta,5.580440623487171e-12,-7.772118566133981e-12,2.1802239257601053e-11,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_plus_local_quality,barrier_weight_average_val_max_loss_barrier,1680,16.0,standardized_linear_beta,-1.742674548150516e-09,-2.8012976566760293e-08,3.3362877260215486e-08,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_plus_local_quality,barrier_git_rebasin_pairwise_ref0_val_max_loss_barrier,1680,16.0,standardized_linear_beta,8.658556073406869e-09,-3.898770358349823e-08,3.403896521642365e-08,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_plus_local_quality,barrier_c2m3_synchronized_val_max_loss_barrier,1680,16.0,standardized_linear_beta,-3.986068928163618e-09,-1.5938900801794657e-08,1.9915048743638268e-08,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_plus_local_quality,barrier_greedy_soup_val_max_loss_barrier,1680,16.0,standardized_linear_beta,1.6606622976578964e-10,-5.251616269441374e-10,5.118165303036005e-10,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_plus_local_quality,barrier_c2m3_val_max_delta_vs_weight_average,1680,16.0,standardized_linear_beta,-1.269414505409845e-09,-2.560122310288175e-08,2.909459973217767e-08,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_plus_local_quality,barrier_c2m3_val_max_delta_vs_git_rebasin,1680,16.0,standardized_linear_beta,6.833418258545346e-09,-3.551093353233572e-08,2.964380540643549e-08,proxy_validation_target_not_test_selection,,,
regression_beta,absolute_validation_degradation_if_rejected_proxy,obstruction_plus_local_quality,candidate_individual_val_accuracy,1680,16.0,standardized_linear_beta,-5.0788307587312786e-11,-2.1925517437732094e-10,1.1864585854580402e-11,proxy_validation_target_not_test_selection,,,
